001, 13.82, 0.37, 9.36e+06
002, 13.25, 0.45, 8.99e+06
003, 9.21, 0.46, 7.34e+06
004, 5.04, 0.35, 8.46e+06
005, 17.48, 0.45, 9.48e+06
006, 9.84, 0.48, 7.40e+06
007, 15.63, 0.45, 8.10e+06
008, 7.01, 0.35, 9.04e+06
009, 8.41, 0.37, 9.03e+06
010, 6.64, 0.36, 8.91e+06
011, 8.64, 0.46, 6.68e+06
012, 14.33, 0.45, 8.21e+06
013, 13.51, 0.41, 9.12e+06
014, 2.58, 0.42, 9.55e+06
015, 1.20, 0.43, 7.33e+06
016, 10.55, 0.36, 7.73e+06
017, 14.30, 0.38, 7.45e+06
018, 16.82, 0.43, 6.67e+06
019, 2.54, 0.36, 6.60e+06
020, 3.75, 0.41, 8.80e+06
021, 0.57, 0.38, 8.11e+06
022, 14.92, 0.35, 6.74e+06
023, 17.12, 0.46, 7.41e+06
024, 5.53, 0.47, 9.79e+06
025, 4.00, 0.39, 8.09e+06
026, 2.85, 0.48, 9.97e+06
027, 15.30, 0.41, 7.44e+06
028, 18.13, 0.41, 8.87e+06
029, 13.06, 0.38, 8.76e+06
030, 2.59, 0.44, 9.74e+06
031, 3.13, 0.48, 9.93e+06
032, 9.04, 0.41, 8.42e+06
033, 18.73, 0.37, 6.85e+06
034, 6.46, 0.38, 7.48e+06
035, 6.53, 0.48, 8.22e+06
036, 18.44, 0.45, 8.69e+06
037, 16.66, 0.49, 8.07e+06
038, 5.66, 0.46, 6.72e+06
039, 0.97, 0.37, 8.39e+06
040, 3.95, 0.46, 8.09e+06
